from,from_network,to,to_network,relationship,type,crosses_network
NATSAP,FHW,Michael Allgood,Eckerd,Board of Directors,people,True
NATSAP,FHW,Rosemary Tippett,UHS,board member,people,True
NATSAP,FHW,Cheryl Kehl,Asst. (south),board member,people,True
NATSAP,FHW,David LePere,Asst. (south),Board of Directors President,people,True
NATSAP,FHW,Aspen Youth Services,Aspen,,people,True
NATSAP,FHW,Tim Brace,Aspen,vice-president,people,True
NATSAP,FHW,Spring Ridge Academy,HOPE Group,,people,True
NATSAP,FHW,Jan Moss,HOPE Group,executive director,people,True
NATSAP,FHW,Dustin Tibbitts,Embark,government relations committee co-chair,other,True
NATSAP,FHW,John L. Santa,Asst. (north),president,people,True
NATSAP,FHW,Bryan Delaney,Asst. (north),conference committee member,people,True
NATSAP,FHW,Craig Rodabough,CERTS,board of directors / board member,people,True
NATSAP,FHW,John L Singleton,Aspen,board of directors,people,True
New Haven RTC,Embark,Diane LaMont,Aspen,cofounder,people,True
New Haven RTC,Embark,Jason Scott Calder,Evolve,therapist,people,True
New Horizons for Young Women,Brown Schools/CEDU,Eilean Mackenzie,Eckerd,clinical director,people,True
NorthStar Center,Aspen,Dennis Crowell,Asst. (south),executive director,people,True
Northwest Academy,Brown Schools/CEDU,Bruce Wilson,Eckerd,executive director,people,True
Northwest Academy,Brown Schools/CEDU,Theresa Wardle,FHW,clinical supervisor,people,True
Northwest Academy,Brown Schools/CEDU,Gordon Newell,Asst. (north),team manager,people,True
Northwest Academy,Brown Schools/CEDU,Dan Tadlock,YSI,clinical supervisor,people,True
Northwest Academy,Brown Schools/CEDU,Julia Andrick,Asst. (north),admissions director,people,True
Northwest Association International School Visitation Team,Eckerd,Eugenia Collins,WWASPS,member,people,True
Novitas Academy,HOPE Group,Katie Rienstra,Aspiro,executive director,people,True
Oliver Cooperman,Eckerd,Red Mountain Sedona,FHW,psychiatrist,people,True
Oliver Cooperman,Eckerd,The Meadows Ranch,WWASPS,psychiatrist,people,True
Open Sky Wilderness Program,Altior,Fred Peipman,UHS,field guide,people,True
Outback Therapeutic Expeditions,Aspen,Sheri Gallagher,FHW,special projects manager,people,True
Outback Therapeutic Expeditions,Aspen,David Freedman,FHW,senior field staff,people,True
Outback Therapeutic Expeditions,Aspen,David Freedman,Wilderness,senior field staff,people,True
Outback Therapeutic Expeditions,Aspen,Michael Bednarz,Asst. (south),field director,people,True
Outback Therapeutic Expeditions,Aspen,Sharon Sperry-Clegg,Asst. (south),risk manager,people,True
