from,from_network,to,to_network,relationship,type,crosses_network
Lee Wardle,FHW,Skyline Journey,Asst. (north),cofounder,people,True
Leigh Uhlenkott,Aspen,Aspiro Wilderness Adventure Therapy,Asst. (north),therapist,people,True
Leigh Uhlenkott,Aspen,Trails Carolina,FHW,therapist,people,True
Life-Line Inc,Synanon,Jordan Larsen,Rite of Passage,clinician,people,True
LifeSpring Seminars,Synanon,David Gilcrease,WWASPS,facilitator,other,True
Lifeline for Youth,Teen Challenge,Life-Line Inc,Synanon,rebrand,corporate,True
Linda Houghton,Asst. (north),Mount Bachelor Academy,Aspen,cofounder,people,True
Linda Houghton,Asst. (north),King George School,Brown Schools/CEDU,,unlabelled,True
Logan River Academy,FHW,Jason Dalton,Asst. (north),?,other,True
Lone Star Expeditions,Aspiro,Michael Bednarz,Asst. (south),executive director,people,True
Lorin Broadbent,Eckerd,The Oakley School,Aspen,cofounder,people,True
Luke Hatch,Eckerd,Turn-About Ranch,Wilderness,executive director,people,True
Mansfield Juvenile Treatment Center,YOI,"Rite of Passage, Inc",Rite of Passage,acquired,corporate,True
Mark Moses,Rite of Passage,Woodward Academy,YSI,training manager/education director,people,True
Mark Wardle,FHW,SageWalk Wilderness,Asst. (north),wilderness operations,other,True
Mark Wardle,FHW,Distant Drums Beginnings,Asst. (north),cofounder/program manager,people,True
Mark Wardle,FHW,The Wardle Home,Asst. (north),cofounder,people,True
Mark Wardle,FHW,Skyline Journey,Asst. (north),cofounder,people,True
Matthew Lovell,FHW,Carlbrook School,UHS,dean of advising,other,True
Meg Paul,FHW,Shortridge Academy,Altior,clinical director,people,True
Melvin Cates,Aspen,Lone Star Expeditions,Aspiro,executive director,people,True
Melvin Cates,Aspen,National Association of Therapeutic Wilderness Camping,Wilderness,board member,people,True
Michelle McCoy,Aspen,Four Circles Recovery Center,Wilderness,,unlabelled,True
Mike Ervin,Aspen,Lone Star Expeditions,Aspiro,executive director,people,True
Mike Strader,Unframed,Shortridge Academy,Altior,Phase II Supervisor,people,True
Mingus Mountain Academy,Vivant,Sequel Youth and Family Services,Rite of Passage,,unlabelled,True
Monarch School,Rite of Passage,Chris Laviola,YSI,clinical director,people,True
Monuments RTC,Altior,Brad Matheson,Asst. (south),cofounder/director of marketing,people,True
Mount Bachelor Academy,Aspen,Sarah Persha Koalkin,FHW,admissions director,people,True
Mount Bachelor Academy,Aspen,Matthew Lovell,FHW,program director,people,True
Mount Bachelor Academy,Aspen,Greg Andrick,Wilderness,cofounder,people,True
Mount Bachelor Academy,Aspen,Sharon Bitz,Asst. (south),executive director,people,True
Mount Bachelor Academy,Aspen,Jane Stewart,Asst. (south),admissions director,people,True
Mount Bachelor Academy,Aspen,Bill Hoffman,Asst. (south),residential director,people,True
Mount Bachelor Academy,Aspen,Mike Strader,Unframed,dean of students,other,True
Mountain Valley Treatment Center,Eckerd,Don Vardell,Wilderness,executive director,people,True
Mycala Cherry,HOPE Group,Blue Ridge Therapeutic Wilderness,Aspiro,field staff,people,True
NATSAP,FHW,Crater Lake School,Eckerd,,people,True
NATSAP,FHW,John Mercer,Eckerd,treasurer,other,True
NATSAP,FHW,Bobbi Trott Christensen,Eckerd,Board of Directors,people,True
NATSAP,FHW,"Leonard ""Len"" Buccellato",Eckerd,,unlabelled,True
NATSAP,FHW,Hidden Lake Academy,Eckerd,,people,True
NATSAP,FHW,Montana Academy,Eckerd,,people,True
NATSAP,FHW,Cascade School,Eckerd,,people,True
