state,unique_name,facility_name
ARIZONA,"Day Starz Group Home, Inc.","Day Starz Group Home, Inc."
ARIZONA,"Desert Angels Behavioral Health Services, LLC","Desert Angels Behavioral Health Services, LLC"
ARIZONA,Destiny Behavioral Health Residential Care LLC,Destiny Behavioral Health Residential Care LLC
ARIZONA,Devereux Arizona - AIC,Devereux Arizona - AIC
ARIZONA,Devereux Arizona RTC,Devereux Arizona RTC
ARIZONA,Devereux Arizona - Broadway Campus,Devereux Arizona - Broadway Campus
ARIZONA,Devereux Arizona - Casa Amistad,Devereux Arizona - Casa Amistad
ARIZONA,Devereux Arizona - Casa Ensueno,Devereux Arizona - Casa Ensueno
ARIZONA,Devereux Arizona - Casa Sol,Devereux Arizona - Casa Sol
ARIZONA,Devereux Arizona - Casa Valor,Devereux Arizona - Casa Valor
ARIZONA,Dream Builders,Dream Builders
ARIZONA,Eagle's Nest Residential - Euclid,Eagle's Nest Residential - Euclid
ARIZONA,Eagles Nest Boys & Girls Residential Agency,Eagles Nest Boys & Girls Residential Agency
ARIZONA,"Elevate Residential Behavioral Health Facilities, LLC","Elevate Residential Behavioral Health Facilities, LLC"
ARIZONA,Empire Group Home LLC,Empire Group Home LLC
ARIZONA,Empowered Care Homes LLC,Empowered Care Homes LLC
ARIZONA,"Empowerment Family Care, Inc.","Empowerment Family Care, Inc."
ARIZONA,Estrella Vista Ranch,Estrella Vista Ranch
ARIZONA,Family Solutions Foundation,Family Solutions Foundation
ARIZONA,"Fay’s House 1, 2, 3","Fay’s House 1, 2, 3"
ARIZONA,First Step Behavioral Health,First Step Behavioral Health
ARIZONA,"Florence Crittenton Services Of Arizona, Inc.","Florence Crittenton Services Of Arizona, Inc."
ARIZONA,Forward In Life,Forward In Life
ARIZONA,Forward In Life II,Forward In Life II
ARIZONA,Generations Group Home,Generations Group Home
ARIZONA,Grace of Serenity Living,Grace of Serenity Living
ARIZONA,"Heart of Gold Group Home, LLC","Heart of Gold Group Home, LLC"
ARIZONA,Hope And Peace LLC,Hope And Peace LLC
ARIZONA,Horizon Recovery - Arrowhead,Horizon Recovery - Arrowhead
ARIZONA,Horizon Recovery - Buckeye,Horizon Recovery - Buckeye
ARIZONA,Horizon Recovery - Deer Valley,Horizon Recovery - Deer Valley
ARIZONA,House Of Joy,House Of Joy
ARIZONA,In Balance Ranch Academy,In Balance Ranch Academy
ARIZONA,KidsQuest Wagon Train,KidsQuest Wagon Train
ARIZONA,L’Amour Group Home,L’Amour Group Home
ARIZONA,La Paloma Family Services - Diamondback Group Home for Girls,La Paloma Family Services - Diamondback Group Home for Girls
ARIZONA,La Paloma Family Services - McKinley Group Home,La Paloma Family Services - McKinley Group Home
ARIZONA,La Paloma Family Services - Menninger House,La Paloma Family Services - Menninger House
ARIZONA,La Paloma Family Services - Timrod Group Home,La Paloma Family Services - Timrod Group Home
ARIZONA,La Paloma Family Services - Victoria House,La Paloma Family Services - Victoria House
ARIZONA,Life Change Family Services Inc.,Life Change Family Services Inc.
ARIZONA,Life Is A Circle LLC,Life Is A Circle LLC
ARIZONA,Mingus Mountain Academy,Mingus Mountain Academy
ARIZONA,"Mingus Mountain Estate Residential Center, Inc.","Mingus Mountain Estate Residential Center, Inc."
ARIZONA,"Mingus Mountain Estate Residential Center, Inc. - Amber Hills","Mingus Mountain Estate Residential Center, Inc. - Amber Hills"
ARIZONA,"Mingus Mountain Estate Residential Center, Inc. - Emily House","Mingus Mountain Estate Residential Center, Inc. - Emily House"
ARIZONA,"Mingus Mountain Estate Residential Center, Inc. - Farrington House","Mingus Mountain Estate Residential Center, Inc. - Farrington House"
ARIZONA,Modern Recovery Services,Modern Recovery Services
ARIZONA,"Mohave Mental Health Clinic, Inc. - Diamond House","Mohave Mental Health Clinic, Inc. - Diamond House"
ARIZONA,"Mon Ami 2 Group Home, LLC","Mon Ami 2 Group Home, LLC"
ARIZONA,Mountain View,Mountain View
ARIZONA,Native Youth Development Services LLC,Native Youth Development Services LLC
ARIZONA,Navajo County Juvenile Restoration Services,Navajo County Juvenile Restoration Services
ARIZONA,New Age Horizon Residential,New Age Horizon Residential
ARIZONA,"Next Generation Youth And Family Services, Inc.","Next Generation Youth And Family Services, Inc."
ARIZONA,Oak Creek Ranch School,Oak Creek Ranch School
ARIZONA,Our House Residentials,Our House Residentials
ARIZONA,P.O.W.E.R. House Youth Facility,P.O.W.E.R. House Youth Facility
ARIZONA,Palo Verde Behavioral Health Unit,Palo Verde Behavioral Health Unit
ARIZONA,Pascua Yaqui Tribe Yoeme Kari Group Home,Pascua Yaqui Tribe Yoeme Kari Group Home
ARIZONA,Pinal County Juvenile Detention Center,Pinal County Juvenile Detention Center
PENNSYLVANIA,Prescott House,Prescott House
ARIZONA,Progressive Health Alliance,Progressive Health Alliance
ARIZONA,Re-Creation Retreat,Re-Creation Retreat
ARIZONA,Red Hawk Academy for Girls,Red Hawk Academy for Girls
ARIZONA,Rey Ash Residential Facility LLC,Rey Ash Residential Facility LLC
ARIZONA,RMBHS - Arvada House,RMBHS - Arvada House
ARIZONA,RMBHS - Cogdell House,RMBHS - Cogdell House
ARIZONA,RMBHS - Lakeview House,RMBHS - Lakeview House
ARIZONA,RMBHS - Opal House,RMBHS - Opal House
ARIZONA,RMBHS - Plata House,RMBHS - Plata House
ARIZONA,RMBHS - Posada House,RMBHS - Posada House
ARIZONA,RMBHS - Renata House,RMBHS - Renata House
ARIZONA,RMBHS - Somerset House,RMBHS - Somerset House
ARIZONA,RMBHS - Vincent House,RMBHS - Vincent House
ARIZONA,Rosewood Ranch,Rosewood Ranch
ARIZONA,"Saharan Oasis, LLC","Saharan Oasis, LLC"
ARIZONA,Sedona Sky Academy,Sedona Sky Academy
ARIZONA,San Tan Behavioral Health Services LLC,San Tan Behavioral Health Services LLC
ARIZONA,Second Chance Behavioral Health,Second Chance Behavioral Health
ARIZONA,Sequel TSI Sierra Vista,Sequel TSI Sierra Vista
ARIZONA,Serenity Preferred LLC,Serenity Preferred LLC
ARIZONA,Shining Hearts Residential Treatment Center,Shining Hearts Residential Treatment Center
NEVADA,Silver State Academy,Silver State Academy
ARIZONA,Smoki Trail,Smoki Trail
ARIZONA,"Southwest Key Programs, Inc - Campbell","Southwest Key Programs, Inc - Campbell"
ARIZONA,Spring Ridge Academy,Spring Ridge Academy
ARIZONA,St. Paul’s Preparatory Academy,St. Paul’s Preparatory Academy
ARIZONA,"Star House BHRF, LLC","Star House BHRF, LLC"
ARIZONA,"Start Living Behavioral Health Center, LLC","Start Living Behavioral Health Center, LLC"
ARIZONA,Starks Homes LLC,Starks Homes LLC
ARIZONA,StreetLightUSA,StreetLightUSA
ARIZONA,Sunflower Living LLC,Sunflower Living LLC
ARIZONA,Sunny Side Group Home,Sunny Side Group Home
ARIZONA,Teen Reach,Teen Reach
ARIZONA,The Meadows Adolescent Center,The Meadows Adolescent Center
ARIZONA,The Meadows Ranch,The Meadows Ranch
ARIZONA,The U-Turn Foundation,The U-Turn Foundation
ARIZONA,The U-Turn Foundation - Keep Right,The U-Turn Foundation - Keep Right
ARIZONA,The Wick Home for Emotional Growth and Recovery,The Wick Home for Emotional Growth and Recovery
ARIZONA,Thy Grace Care LLC,Thy Grace Care LLC
ARIZONA,Tree Of Life Arizona,Tree Of Life Arizona
ARIZONA,Trinity Recovery Home,Trinity Recovery Home
ARIZONA,Twin Hearts LLC,Twin Hearts LLC
ARIZONA,Victory Behavioral Healthcare PLLC,Victory Behavioral Healthcare PLLC
ARIZONA,Vision Quest - 7 Directions,Vision Quest - 7 Directions
ARIZONA,Yavapai Juvenile Justice Center,Yavapai Juvenile Justice Center
ARIZONA,Youth Development Institute,Youth Development Institute
ARIZONA,Youth Development Institute - Portland House,Youth Development Institute - Portland House
ARIZONA,"Youth Transition Services, Inc.","Youth Transition Services, Inc."
ARIZONA,Zarephath Inc.,Zarephath Inc.
ARIZONA,Zarephath Inc. - Apache House,Zarephath Inc. - Apache House
ARIZONA,Zarephath Inc. - Chaparral House,Zarephath Inc. - Chaparral House
ARIZONA,Zarephath Inc. - Yuma House,Zarephath Inc. - Yuma House
ARKANSAS,Alexander Youth Services Center,Alexander Youth Services Center
ARKANSAS,Arkansas County Juvenile Center,Arkansas County Juvenile Center
ARKANSAS,Basic Life Principles Training Center,Basic Life Principles Training Center
ARKANSAS,Benton County Juvenile Detention,Benton County Juvenile Detention
ARKANSAS,"Children’s Homes, Inc.","Children’s Homes, Inc."
ARKANSAS,Craighead County Detention Center,Craighead County Detention Center
ARKANSAS,Crittenden County Juvenile Detention Center,Crittenden County Juvenile Detention Center
ARKANSAS,Faulkner County Juvenile Detention Center,Faulkner County Juvenile Detention Center
