state,unique_name,facility_count,note
NEW JERSEY,New Hope Integrated Behavioral Healthcare,1,single-facility NEW JERSEY project; name NOT in mega — review
NEW YORK,JBFCS Henry Ittleson Community Residence I,1,single-facility NEW YORK project; name NOT in mega — review
NORTH CAROLINA,New Horizon Group Home,2,multi-facility NORTH CAROLINA project (2 facilities) — kept for review
NORTH CAROLINA,Stepping Stone Services,1,single-facility NORTH CAROLINA project; name NOT in mega — review
NORTH DAKOTA,Dakota Boys and Girls Ranch,3,multi-facility NORTH DAKOTA project (3 facilities) — kept for review
OHIO,Adriel School,2,multi-facility OHIO project (2 facilities) — kept for review
OHIO,The Village Network,4,multi-facility OHIO project (4 facilities) — kept for review
OREGON,Academy at Sisters,2,multi-facility OREGON project (2 facilities) — kept for review
WASHINGTON,Bailie Memorial Youth Ranch,1,single-facility WASHINGTON project; name NOT in mega — review
WASHINGTON,Judge Patricia H. Clark Children and Family Justice Center,1,single-facility WASHINGTON project; name NOT in mega — review
OREGON,New Leaf Academy of Oregon,4,multi-facility OREGON project (4 facilities) — kept for review
SOUTH CAROLINA,Boys Home of the South,1,single-facility SOUTH CAROLINA project; name NOT in mega — review
SOUTH DAKOTA,Our Home Inc.,2,multi-facility SOUTH DAKOTA project (2 facilities) — kept for review
ALABAMA,Tennessee Valley Juvenile Detention,1,single-facility ALABAMA project; name NOT in mega — review
TEXAS,Behavior Training Research,1,single-facility TEXAS project; name NOT in mega — review
TEXAS,Hope for Tomorrow dba Bridge to Hope,1,single-facility TEXAS project; name NOT in mega — review
TEXAS,Presbyterian Children’s Home,2,multi-facility TEXAS project (2 facilities) — kept for review
TEXAS,Straight – Dallas,2,multi-facility TEXAS project (2 facilities) — kept for review
TEXAS,Unity Children’s Home RTC,3,multi-facility TEXAS project (3 facilities) — kept for review
UTAH,Alpine Academy,2,multi-facility UTAH project (2 facilities) — kept for review
UTAH,Apex Youth Services,3,multi-facility UTAH project (3 facilities) — kept for review
UTAH,Ashcreek Ranch Academy,2,multi-facility UTAH project (2 facilities) — kept for review
UTAH,Aspiro Wilderness Adventure Therapy,2,multi-facility UTAH project (2 facilities) — kept for review
UTAH,"Blue Hills Residential Treatment, LLC",2,multi-facility UTAH project (2 facilities) — kept for review
UTAH,Cross Creek Programs,2,multi-facility UTAH project (2 facilities) — kept for review
UTAH,Crossroads Academy RTC,3,multi-facility UTAH project (3 facilities) — kept for review
UTAH,Daniels Academy,2,multi-facility UTAH project (2 facilities) — kept for review
UTAH,Storm Ridge Ranch,2,multi-facility UTAH project (2 facilities) — kept for review
UTAH,Sunrise RTC,2,multi-facility UTAH project (2 facilities) — kept for review
UTAH,Therapy Associates Dba Star Guides,1,single-facility UTAH project; name NOT in mega — review
UTAH,Triumph Youth Services/Triumph Academy – Expeditions,1,single-facility UTAH project; name NOT in mega — review
UTAH,Youth Futures,2,multi-facility UTAH project (2 facilities) — kept for review
VIRGINIA,Braley & Thompson ACCT House,1,single-facility VIRGINIA project; name NOT in mega — review
VIRGINIA,Restorative Youth Services,2,multi-facility VIRGINIA project (2 facilities) — kept for review
WASHINGTON,Daybreak Youth Services,2,multi-facility WASHINGTON project (2 facilities) — kept for review
WEST VIRGINIA,Golden Girl Group Home,2,multi-facility WEST VIRGINIA project (2 facilities) — kept for review
KANSAS,Kansas,2,multi-facility KANSAS project (2 facilities) — kept for review
CALIFORNIA,"3718 Dimaggio Way, Antioch, CA 94509;",4,multi-facility CALIFORNIA project (4 facilities) — kept for review
CALIFORNIA,"Trabuco Canyon, CA;",1,single-facility CALIFORNIA project; name NOT in mega — review
