state,unique_name,facility_count,sample_facility_names
CALIFORNIA,New Beginnings Residential Treatment Facilities,2,New Beginnings Residential Treatment Facilities | New Beginnings Residential Treatment Facilities
CALIFORNIA,Pacific Autism Center for Education,5,Pacific Autism Center for Education | Pacific Autism Center for Education | Pacific Autism Center for Education
CALIFORNIA,"Lamar House – Sunnyvale, CA",1,"Lamar House – Sunnyvale, CA"
CALIFORNIA,Peacock Acres Group Home STRTP,2,Peacock Acres Group Home STRTP | Peacock Acres Group Home STRTP
CALIFORNIA,Seneca Connections STRTP,2,Seneca Connections STRTP | Seneca Connections STRTP
CALIFORNIA,Tarzana Treatment Centers,2,Tarzana Treatment Centers | Tarzana Treatment Centers
CALIFORNIA,Unicorn Garden,3,Unicorn Garden | Unicorn Garden | Unicorn Garden
CALIFORNIA,"Varsity Team, Inc.",4,"Varsity Team, Inc. | Varsity Team, Inc. | Varsity Team, Inc."
CALIFORNIA,Visions Adolescent Treatment Center,3,Visions Adolescent Treatment Center | Visions Adolescent Treatment Center | Visions Adolescent Treatment Center
COLORADO,Brad’s House,3,Brad’s House | Brad’s House | Brad’s House
COLORADO,Devereux Cleo Wallace Center,2,Devereux Cleo Wallace Center | Devereux Cleo Wallace Center
COLORADO,Kidz Ark,2,Kidz Ark | Kidz Ark
COLORADO,Rocky Mountain Kids,3,Rocky Mountain Kids | Rocky Mountain Kids | Rocky Mountain Kids
FLORIDA,Brighter Heights Florida,2,Brighter Heights Florida | Brighter Heights Florida
FLORIDA,Devereux Florida I/DD Group Homes,2,Devereux Florida I/DD Group Homes | Devereux Florida I/DD Group Homes
FLORIDA,Devereux Florida Residential Group Care,2,Devereux Florida Residential Group Care | Devereux Florida Residential Group Care
FLORIDA,Devereux Florida Specialized Therapeutic Group Homes,2,Devereux Florida Specialized Therapeutic Group Homes | Devereux Florida Specialized Therapeutic Group Homes
FLORIDA,Hope Children’s Home,1,Hope Children’s Home
GEORGIA,Appalachian Wilderness Camp,2,Appalachian Wilderness Camp | Appalachian Wilderness Camp
GEORGIA,"Secure & Care, Inc.",2,"Secure & Care, Inc. | Secure & Care, Inc."
GEORGIA,Skyland Trail – J. Rex Fuqua Campus,1,Skyland Trail – J. Rex Fuqua Campus
HAWAII,Pacific Quest,3,Pacific Quest | Pacific Quest | Pacific Quest
IDAHO,Innercept,2,Innercept | Innercept
IDAHO,Northwest Academy,2,Northwest Academy | Northwest Academy
IDAHO,Northwoods,2,Northwoods | Northwoods
IDAHO,Rocky Mountain Academy,2,Rocky Mountain Academy | Rocky Mountain Academy
ILLINOIS,Allendale Association,2,Allendale Association | Allendale Association
KANSAS,Camber Children’s Residential Mental Health Treatment,2,Camber Children’s Residential Mental Health Treatment | Camber Children’s Residential Mental Health Treatment
KANSAS,Meadowlark Academy,1,Meadowlark Academy
KANSAS,St Francis Academy,1,St Francis Academy
KENTUCKY,Kentucky Youth Academy,3,Kentucky Youth Academy | Kentucky Youth Academy | Kentucky Youth Academy
KENTUCKY,Key Assets Group Homes,8,Key Assets Group Homes | Key Assets Group Homes | Key Assets Group Homes
KENTUCKY,StepStone Youth & Family Services,4,StepStone Youth & Family Services | StepStone Youth & Family Services | StepStone Youth & Family Services
LOUISIANA,Acadiana Center for Youth,2,Acadiana Center for Youth | Acadiana Center for Youth
LOUISIANA,Johnny Robinson's Boys Home Inc.,2,Johnny Robinson's Boys Home Inc. | Johnny Robinson's Boys Home Inc.
LOUISIANA,Methodist Children’s Home of Southeast Louisiana,1,Methodist Children’s Home of Southeast Louisiana
LOUISIANA,Rutherford Houses,4,Rutherford Houses | Rutherford Houses | Rutherford Houses
LOUISIANA,The Agape House,2,The Agape House | The Agape House
MAINE,Day One,3,Day One | Day One | Day One
MAINE,Sweetser Residential Treatment Center,2,Sweetser Residential Treatment Center | Sweetser Residential Treatment Center
MARYLAND,Thomas J.S. Waxter Children’s Center,1,Thomas J.S. Waxter Children’s Center
MASSACHUSETTS,Devereux STARR Program,2,Devereux STARR Program | Devereux STARR Program
MICHIGAN,New Hope Youth Center,1,New Hope Youth Center
MINNESOTA,Hope Harbor,1,Hope Harbor
MISSOURI,Anchor Home for Boys,2,Anchor Home for Boys | Anchor Home for Boys
MISSOURI,Boys and Girls Town of Missouri,3,Boys and Girls Town of Missouri | Boys and Girls Town of Missouri | Boys and Girls Town of Missouri
MISSOURI,CALO Programs,3,CALO Programs | CALO Programs | CALO Programs
MISSOURI,Kanakuk Kamps,2,Kanakuk Kamps | Kanakuk Kamps
MISSOURI,KVC Missouri,4,KVC Missouri | KVC Missouri | KVC Missouri
MISSOURI,Lakeland Behavioral Health System Residential Treatment Program,2,Lakeland Behavioral Health System Residential Treatment Program | Lakeland Behavioral Health System Residential Treatment Program
MONTANA,Mountain Meadow Youth Ranch,2,Mountain Meadow Youth Ranch | Mountain Meadow Youth Ranch
NEVADA,Ignite Teen Treatment,2,Ignite Teen Treatment | Ignite Teen Treatment
NEVADA,Nevada PRTF Services for Children – Oasis,1,Nevada PRTF Services for Children – Oasis
NEVADA,Northern Nevada PRTF Services for Children – Enterprise,1,Northern Nevada PRTF Services for Children – Enterprise
NEVADA,Ridge House,5,Ridge House | Ridge House | Ridge House
NEVADA,St. Jude’s Ranch for Children,2,St. Jude’s Ranch for Children | St. Jude’s Ranch for Children
