unique_name,facility_name,reason
Haven of Hope - Halcyon House,Haven of Hope - Halcyon House,single-facility CA project; name already in CALIFORNIA
Haynes House STRTP,Haynes House STRTP,single-facility CA project; name already in CALIFORNIA
Hazel House,Hazel House,single-facility CA project; name already in CALIFORNIA
Heart of Worship Community Church Group Home,Heart of Worship Community Church Group Home,single-facility CA project; name already in CALIFORNIA
Helen E. Cowell Children's Center,Helen E. Cowell Children's Center,single-facility CA project; name already in CALIFORNIA
Helping Hands Home for Children,Helping Hands Home for Children,single-facility CA project; name already in CALIFORNIA
High Desert JDAC,High Desert JDAC,single-facility CA project; name already in CALIFORNIA
Hillcrest Adolescent Treatment Center,Hillcrest Adolescent Treatment Center,single-facility CA project; name already in CALIFORNIA
Hillcrest Juvenile Hall,Hillcrest Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Hillside Horizon for Teens - Juanita Facility,Hillside Horizon for Teens - Juanita Facility,single-facility CA project; name already in CALIFORNIA
Hillside Horizon for Teens - Richard Facility,Hillside Horizon for Teens - Richard Facility,single-facility CA project; name already in CALIFORNIA
Hillside Horizon for Teens - Ridgeview Facility,Hillside Horizon for Teens - Ridgeview Facility,single-facility CA project; name already in CALIFORNIA
HillsidesCares RTP,HillsidesCares RTP,single-facility CA project; name already in CALIFORNIA
Home of Excellence,Home of Excellence,single-facility CA project; name already in CALIFORNIA
Hope for Youth Inc. - Bain House,Hope for Youth Inc. - Bain House,single-facility CA project; name already in CALIFORNIA
House of Sulaiman Children's Home,House of Sulaiman Children's Home,single-facility CA project; name already in CALIFORNIA
Humboldt County Juvenile Hall,Humboldt County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Imperial County Juvenile Hall,Imperial County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Indio Juvenile Hall,Indio Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Inspiring Pathways,Inspiring Pathways,single-facility CA project; name already in CALIFORNIA
Iris Garrett Juvenile Justice Correctional Complex,Iris Garrett Juvenile Justice Correctional Complex,single-facility CA project; name already in CALIFORNIA
James G. Bowles Juvenile Hall,James G. Bowles Juvenile Hall,single-facility CA project; name already in CALIFORNIA
James Penny House Inc.,James Penny House Inc.,single-facility CA project; name already in CALIFORNIA
John & Dorothy Almklov House,John & Dorothy Almklov House,single-facility CA project; name already in CALIFORNIA
Jordan House of Umoja,Jordan House of Umoja,single-facility CA project; name already in CALIFORNIA
Juvenile Commitment Facility,Juvenile Commitment Facility,single-facility CA project; name already in CALIFORNIA
Juvenile Justice Campus,Juvenile Justice Campus,single-facility CA project; name already in CALIFORNIA
Kearny Mesa Juvenile Detention Facility,Kearny Mesa Juvenile Detention Facility,single-facility CA project; name already in CALIFORNIA
Kern County Crossroads - Larry J. Rhoades Facility,Kern County Crossroads - Larry J. Rhoades Facility,single-facility CA project; name already in CALIFORNIA
Key Healthcare Adolescent RTC,Key Healthcare Adolescent RTC,single-facility CA project; name already in CALIFORNIA
Kings County Juvenile Center,Kings County Juvenile Center,single-facility CA project; name already in CALIFORNIA
Koinonia BHP - Auburn,Koinonia BHP - Auburn,single-facility CA project; name already in CALIFORNIA
Koinonia BHP - Loomis Homes for Teens,Koinonia BHP - Loomis Homes for Teens,single-facility CA project; name already in CALIFORNIA
Koinonia BHP - Rocklin,Koinonia BHP - Rocklin,single-facility CA project; name already in CALIFORNIA
LA Camp Afflerbaugh,LA Camp Afflerbaugh,single-facility CA project; name already in CALIFORNIA
LA Camp Glenn Rockey,LA Camp Glenn Rockey,single-facility CA project; name already in CALIFORNIA
LA Camp Joseph Paige,LA Camp Joseph Paige,single-facility CA project; name already in CALIFORNIA
LA Central Juvenile Hall,LA Central Juvenile Hall,single-facility CA project; name already in CALIFORNIA
La Cheim STRTP,La Cheim STRTP,single-facility CA project; name already in CALIFORNIA
Lafayette RTC,Lafayette RTC,single-facility CA project; name already in CALIFORNIA
